Fecha,Hora,Frecuencia cardiaca,Origen
2026.09.13 09:38:00,09:38:00,82,
2026.09.13 09:39:00,09:39:00,79,
2026.09.13 09:41:00,09:41:00,80,
2026.09.13 09:42:00,09:42:00,62,
2026.09.13 09:43:00,09:43:00,65,
2026.09.13 09:45:00,09:45:00,88,
2026.09.13 09:46:00,09:46:00,67,
2026.09.13 09:50:00,09:50:00,89,
2026.09.13 09:52:00,09:52:00,82,
2026.09.13 09:54:00,09:54:00,91,
2026.09.13 09:55:00,09:55:00,88,
2026.09.13 09:57:00,09:57:00,81,
2026.09.13 09:58:00,09:58:00,101,
2026.09.13 09:59:00,09:59:00,86,
2026.09.13 10:00:00,10:00:00,84,
2026.09.13 10:05:00,10:05:00,75,
2026.09.13 10:06:00,10:06:00,85,
2026.09.13 10:08:00,10:08:00,79,
2026.09.13 10:09:00,10:09:00,51,
2026.09.13 10:10:00,10:10:00,53,
2026.09.13 10:11:00,10:11:00,63,
2026.09.13 10:16:00,10:16:00,57,
2026.09.13 10:17:00,10:17:00,66,
2026.09.13 10:18:00,10:18:00,66,
2026.09.13 10:20:00,10:20:00,74,
2026.09.13 10:21:00,10:21:00,71,
2026.09.13 10:22:00,10:22:00,63,
2026.09.13 10:29:00,10:29:00,56,
2026.09.13 10:30:00,10:30:00,55,
2026.09.13 10:31:00,10:31:00,54,
2026.09.13 10:32:00,10:32:00,80,
2026.09.13 10:33:00,10:33:00,63,
2026.09.13 10:35:00,10:35:00,55,
2026.09.13 10:40:00,10:40:00,60,
2026.09.13 10:41:00,10:41:00,55,
2026.09.13 10:51:00,10:51:00,55,
2026.09.13 10:56:00,10:56:00,59,
2026.09.13 11:02:00,11:02:00,52,
2026.09.13 11:12:00,11:12:00,57,
2026.09.13 11:17:00,11:17:00,68,
2026.09.13 11:18:00,11:18:00,61,
2026.09.13 11:20:00,11:20:00,66,
2026.09.13 11:22:00,11:22:00,56,
2026.09.13 11:27:00,11:27:00,71,
2026.09.13 11:28:00,11:28:00,71,
2026.09.13 11:34:00,11:34:00,95,
2026.09.13 11:36:00,11:36:00,61,
2026.09.13 11:37:00,11:37:00,57,
2026.09.13 11:38:00,11:38:00,71,
2026.09.13 11:39:00,11:39:00,67,
2026.09.13 11:40:00,11:40:00,68,
2026.09.13 11:43:00,11:43:00,100,
2026.09.13 11:44:00,11:44:00,107,
2026.09.13 11:45:00,11:45:00,69,
2026.09.13 11:46:00,11:46:00,69,
2026.09.13 11:47:00,11:47:00,48,
2026.09.13 11:51:00,11:51:00,56,
2026.09.13 11:52:00,11:52:00,51,
2026.09.13 11:53:00,11:53:00,67,
2026.09.13 11:54:00,11:54:00,64,
2026.09.13 11:55:00,11:55:00,58,
2026.09.13 11:56:00,11:56:00,57,
2026.09.13 11:57:00,11:57:00,84,
2026.09.13 11:58:00,11:58:00,67,
2026.09.13 11:59:00,11:59:00,81,
