Fecha,Hora,Saturación de oxígeno
2026.09.02 08:54:00,08:54:00,97.0
2026.09.02 09:00:00,09:00:00,97.0
2026.09.02 10:26:00,10:26:00,97.0
2026.09.02 10:46:00,10:46:00,96.0
2026.09.02 10:56:00,10:56:00,93.0
2026.09.02 11:00:00,11:00:00,96.0
2026.09.02 11:16:00,11:16:00,96.0
2026.09.02 12:06:00,12:06:00,97.0
2026.09.02 12:16:00,12:16:00,96.0
2026.09.02 14:26:00,14:26:00,96.0
2026.09.02 14:46:00,14:46:00,96.0
2026.09.02 16:56:00,16:56:00,96.0
2026.09.02 18:36:00,18:36:00,95.0
2026.09.02 18:46:00,18:46:00,96.0
2026.09.02 18:56:00,18:56:00,96.0
2026.09.02 19:16:00,19:16:00,96.0
2026.09.02 19:26:00,19:26:00,95.0
2026.09.02 19:36:00,19:36:00,96.0
2026.09.02 20:36:00,20:36:00,96.0
2026.09.02 20:46:00,20:46:00,96.0
2026.09.02 21:13:00,21:13:00,95.0
2026.09.02 22:06:00,22:06:00,96.0
2026.09.02 22:16:00,22:16:00,96.0
2026.09.02 23:16:00,23:16:00,96.0
2026.09.02 23:20:00,23:20:00,96.0
2026.09.03 00:06:00,00:06:00,96.0
2026.09.03 00:10:00,00:10:00,96.0
2026.09.03 01:01:00,01:01:00,96.0
2026.09.03 01:11:00,01:11:00,96.0
2026.09.03 01:20:00,01:20:00,96.0
2026.09.03 01:30:00,01:30:00,97.0
2026.09.03 01:40:00,01:40:00,96.0
2026.09.03 01:50:00,01:50:00,97.0
2026.09.03 02:00:00,02:00:00,97.0
2026.09.03 02:10:00,02:10:00,96.0
2026.09.03 02:20:00,02:20:00,96.0
2026.09.03 02:30:00,02:30:00,96.0
2026.09.03 02:40:00,02:40:00,96.0
2026.09.03 02:50:00,02:50:00,97.0
2026.09.03 03:00:00,03:00:00,96.0
2026.09.03 03:10:00,03:10:00,98.0
2026.09.03 03:20:00,03:20:00,98.0
2026.09.03 03:30:00,03:30:00,98.0
2026.09.03 03:40:00,03:40:00,98.0
2026.09.03 03:50:00,03:50:00,97.0
2026.09.03 04:00:00,04:00:00,97.0
2026.09.03 04:10:00,04:10:00,97.0
2026.09.03 04:20:00,04:20:00,98.0
2026.09.03 04:31:00,04:31:00,96.0
2026.09.03 04:41:00,04:41:00,98.0
2026.09.03 04:51:00,04:51:00,98.0
2026.09.03 05:01:00,05:01:00,97.0
2026.09.03 05:10:00,05:10:00,97.0
2026.09.03 06:06:00,06:06:00,95.0
2026.09.03 06:36:00,06:36:00,95.0
2026.09.03 07:16:00,07:16:00,95.0
2026.09.03 07:26:00,07:26:00,97.0
2026.09.03 09:46:00,09:46:00,96.0
2026.09.03 10:20:00,10:20:00,96.0
2026.09.03 10:36:00,10:36:00,96.0
2026.09.03 10:56:00,10:56:00,96.0
2026.09.03 11:06:00,11:06:00,96.0
2026.09.03 11:26:00,11:26:00,96.0
2026.09.03 11:56:00,11:56:00,97.0
2026.09.03 12:16:00,12:16:00,95.0
2026.09.03 12:36:00,12:36:00,95.0
2026.09.03 13:16:00,13:16:00,97.0
2026.09.03 15:06:00,15:06:00,95.0
2026.09.03 15:46:00,15:46:00,95.0
2026.09.03 17:24:00,17:24:00,97.0
2026.09.03 17:50:00,17:50:00,97.0
2026.09.03 18:00:00,18:00:00,97.0
2026.09.03 18:15:00,18:15:00,97.0
2026.09.03 18:20:00,18:20:00,97.0
2026.09.03 18:30:00,18:30:00,97.0
2026.09.03 18:40:00,18:40:00,97.0
2026.09.03 18:50:00,18:50:00,97.0
2026.09.03 19:00:00,19:00:00,97.0
2026.09.03 20:06:00,20:06:00,96.0
2026.09.03 20:16:00,20:16:00,96.0
2026.09.03 20:26:00,20:26:00,95.0
2026.09.03 20:36:00,20:36:00,96.0
2026.09.03 20:56:00,20:56:00,96.0
2026.09.03 21:53:00,21:53:00,96.0
2026.09.03 22:46:00,22:46:00,96.0
2026.09.03 22:56:00,22:56:00,96.0
2026.09.03 23:36:00,23:36:00,96.0
2026.09.04 00:14:00,00:14:00,97.0
2026.09.04 00:30:00,00:30:00,96.0
2026.09.04 01:06:00,01:06:00,97.0
2026.09.04 01:11:00,01:11:00,97.0
2026.09.04 01:21:00,01:21:00,96.0
2026.09.04 01:31:00,01:31:00,96.0
2026.09.04 01:41:00,01:41:00,96.0
2026.09.04 01:51:00,01:51:00,96.0
2026.09.04 02:00:00,02:00:00,97.0
2026.09.04 02:10:00,02:10:00,97.0
2026.09.04 02:20:00,02:20:00,96.0
2026.09.04 02:30:00,02:30:00,97.0
2026.09.04 02:46:00,02:46:00,97.0
2026.09.04 02:50:00,02:50:00,97.0
2026.09.04 03:00:00,03:00:00,97.0
2026.09.04 03:10:00,03:10:00,97.0
2026.09.04 03:20:00,03:20:00,98.0
2026.09.04 03:30:00,03:30:00,97.0
2026.09.04 03:40:00,03:40:00,98.0
2026.09.04 03:50:00,03:50:00,98.0
2026.09.04 04:00:00,04:00:00,98.0
2026.09.04 04:10:00,04:10:00,97.0
2026.09.04 04:20:00,04:20:00,97.0
2026.09.04 04:30:00,04:30:00,99.0
2026.09.04 04:40:00,04:40:00,97.0
2026.09.04 04:50:00,04:50:00,97.0
2026.09.04 05:00:00,05:00:00,97.0
2026.09.04 05:10:00,05:10:00,97.0
2026.09.04 05:21:00,05:21:00,97.0
2026.09.04 05:31:00,05:31:00,96.0
2026.09.04 05:41:00,05:41:00,97.0
2026.09.04 05:51:00,05:51:00,97.0
2026.09.04 06:01:00,06:01:00,96.0
2026.09.04 06:11:00,06:11:00,97.0
2026.09.04 06:21:00,06:21:00,97.0
2026.09.04 06:31:00,06:31:00,97.0
2026.09.04 06:51:00,06:51:00,97.0
2026.09.04 07:03:00,07:03:00,96.0
2026.09.04 07:10:00,07:10:00,97.0
2026.09.04 07:20:00,07:20:00,97.0
