Fecha,Hora,Saturación de oxígeno
2026.08.14 03:51:00,03:51:00,97.0
2026.08.14 04:01:00,04:01:00,97.0
2026.08.14 04:11:00,04:11:00,96.0
2026.08.14 04:21:00,04:21:00,97.0
2026.08.14 04:30:00,04:30:00,97.0
2026.08.14 04:40:00,04:40:00,97.0
2026.08.14 04:50:00,04:50:00,96.0
2026.08.14 05:00:00,05:00:00,97.0
2026.08.14 05:10:00,05:10:00,97.0
2026.08.14 05:20:00,05:20:00,97.0
2026.08.14 05:30:00,05:30:00,97.0
2026.08.14 05:40:00,05:40:00,96.0
2026.08.14 05:50:00,05:50:00,96.0
2026.08.14 06:01:00,06:01:00,98.0
2026.08.14 06:21:00,06:21:00,97.0
2026.08.14 06:31:00,06:31:00,97.0
2026.08.14 06:41:00,06:41:00,97.0
2026.08.14 06:51:00,06:51:00,97.0
2026.08.14 07:01:00,07:01:00,96.0
2026.08.14 07:11:00,07:11:00,97.0
2026.08.14 07:21:00,07:21:00,97.0
2026.08.14 07:46:00,07:46:00,97.0
2026.08.14 07:56:00,07:56:00,97.0
2026.08.14 08:10:00,08:10:00,96.0
2026.08.14 08:20:00,08:20:00,97.0
2026.08.14 08:30:00,08:30:00,97.0
2026.08.14 08:46:00,08:46:00,95.0
2026.08.14 09:16:00,09:16:00,96.0
2026.08.14 09:20:00,09:20:00,96.0
2026.08.14 09:46:00,09:46:00,95.0
2026.08.14 10:06:00,10:06:00,95.0
2026.08.14 10:16:00,10:16:00,96.0
2026.08.14 11:16:00,11:16:00,96.0
2026.08.14 12:16:00,12:16:00,95.0
2026.08.14 12:56:00,12:56:00,96.0
2026.08.14 13:00:00,13:00:00,96.0
2026.08.14 13:16:00,13:16:00,96.0
2026.08.14 13:46:00,13:46:00,95.0
2026.08.14 13:56:00,13:56:00,96.0
2026.08.14 14:16:00,14:16:00,96.0
2026.08.14 14:56:00,14:56:00,96.0
2026.08.14 15:00:00,15:00:00,96.0
2026.08.14 15:16:00,15:16:00,96.0
2026.08.14 15:26:00,15:26:00,96.0
2026.08.14 16:32:00,16:32:00,96.0
2026.08.14 16:46:00,16:46:00,96.0
2026.08.14 17:06:00,17:06:00,96.0
2026.08.14 17:20:00,17:20:00,96.0
2026.08.14 17:36:00,17:36:00,96.0
2026.08.14 17:44:00,17:44:00,96.0
2026.08.14 17:56:00,17:56:00,96.0
2026.08.14 18:06:00,18:06:00,96.0
2026.08.14 18:36:00,18:36:00,96.0
2026.08.14 19:36:00,19:36:00,96.0
2026.08.14 19:46:00,19:46:00,96.0
2026.08.14 20:26:00,20:26:00,95.0
2026.08.14 20:56:00,20:56:00,96.0
2026.08.14 21:06:00,21:06:00,96.0
2026.08.14 22:16:00,22:16:00,96.0
2026.08.14 22:56:00,22:56:00,96.0
2026.08.14 23:06:00,23:06:00,96.0
2026.08.14 23:26:00,23:26:00,93.0
2026.08.15 00:51:00,00:51:00,95.0
2026.08.15 01:10:00,01:10:00,98.0
2026.08.15 01:20:00,01:20:00,98.0
2026.08.15 01:30:00,01:30:00,98.0
2026.08.15 01:40:00,01:40:00,96.0
2026.08.15 01:50:00,01:50:00,96.0
2026.08.15 02:00:00,02:00:00,97.0
2026.08.15 02:10:00,02:10:00,97.0
2026.08.15 02:20:00,02:20:00,97.0
2026.08.15 02:31:00,02:31:00,97.0
2026.08.15 02:41:00,02:41:00,97.0
2026.08.15 02:51:00,02:51:00,97.0
2026.08.15 03:01:00,03:01:00,97.0
2026.08.15 03:11:00,03:11:00,97.0
2026.08.15 03:21:00,03:21:00,96.0
2026.08.15 03:31:00,03:31:00,97.0
2026.08.15 03:41:00,03:41:00,97.0
2026.08.15 03:51:00,03:51:00,97.0
2026.08.15 04:01:00,04:01:00,99.0
2026.08.15 04:11:00,04:11:00,97.0
2026.08.15 04:31:00,04:31:00,98.0
2026.08.15 04:41:00,04:41:00,98.0
2026.08.15 04:56:00,04:56:00,98.0
2026.08.15 05:01:00,05:01:00,97.0
2026.08.15 05:11:00,05:11:00,97.0
2026.08.15 05:21:00,05:21:00,96.0
2026.08.15 05:31:00,05:31:00,97.0
2026.08.15 05:41:00,05:41:00,97.0
2026.08.15 05:51:00,05:51:00,97.0
2026.08.15 06:01:00,06:01:00,97.0
2026.08.15 06:11:00,06:11:00,97.0
2026.08.15 06:21:00,06:21:00,97.0
2026.08.15 06:41:00,06:41:00,97.0
2026.08.15 06:53:00,06:53:00,97.0
2026.08.15 07:00:00,07:00:00,97.0
2026.08.15 07:10:00,07:10:00,96.0
2026.08.15 07:20:00,07:20:00,96.0
2026.08.15 07:30:00,07:30:00,97.0
2026.08.15 07:40:00,07:40:00,97.0
2026.08.15 07:50:00,07:50:00,97.0
2026.08.15 08:00:00,08:00:00,97.0
2026.08.15 08:10:00,08:10:00,96.0
2026.08.15 08:20:00,08:20:00,97.0
2026.08.15 08:30:00,08:30:00,96.0
2026.08.15 08:40:00,08:40:00,96.0
2026.08.15 08:51:00,08:51:00,97.0
2026.08.15 09:16:00,09:16:00,96.0
2026.08.15 09:26:00,09:26:00,95.0
2026.08.15 09:46:00,09:46:00,96.0
2026.08.15 11:36:00,11:36:00,95.0
2026.08.15 13:40:00,13:40:00,95.0
2026.08.15 13:50:00,13:50:00,95.0
2026.08.15 14:06:00,14:06:00,96.0
2026.08.15 14:11:00,14:11:00,97.0
2026.08.15 15:16:00,15:16:00,96.0
2026.08.15 15:56:00,15:56:00,96.0
2026.08.15 16:06:00,16:06:00,96.0
2026.08.15 16:16:00,16:16:00,96.0
2026.08.15 16:26:00,16:26:00,96.0
2026.08.15 16:36:00,16:36:00,96.0
2026.08.15 16:56:00,16:56:00,96.0
2026.08.15 17:26:00,17:26:00,96.0
2026.08.15 19:56:00,19:56:00,96.0
2026.08.15 20:06:00,20:06:00,96.0
2026.08.15 20:16:00,20:16:00,96.0
2026.08.15 20:26:00,20:26:00,95.0
2026.08.15 20:30:00,20:30:00,96.0
2026.08.15 20:46:00,20:46:00,96.0
2026.08.15 20:56:00,20:56:00,96.0
2026.08.15 21:16:00,21:16:00,96.0
2026.08.15 21:26:00,21:26:00,95.0
2026.08.15 21:36:00,21:36:00,95.0
2026.08.15 21:46:00,21:46:00,96.0
2026.08.15 21:56:00,21:56:00,96.0
2026.08.15 22:06:00,22:06:00,96.0
2026.08.15 22:16:00,22:16:00,96.0
2026.08.15 22:56:00,22:56:00,97.0
2026.08.15 23:00:00,23:00:00,95.0
2026.08.15 23:10:00,23:10:00,96.0
2026.08.15 23:46:00,23:46:00,96.0
2026.08.15 23:56:00,23:56:00,97.0
2026.08.16 00:00:00,00:00:00,97.0
2026.08.16 00:21:00,00:21:00,97.0
2026.08.16 00:31:00,00:31:00,96.0
2026.08.16 00:41:00,00:41:00,97.0
2026.08.16 00:51:00,00:51:00,97.0
2026.08.16 01:01:00,01:01:00,97.0
2026.08.16 01:11:00,01:11:00,97.0
2026.08.16 01:21:00,01:21:00,97.0
2026.08.16 01:31:00,01:31:00,97.0
2026.08.16 01:41:00,01:41:00,97.0
2026.08.16 01:51:00,01:51:00,97.0
2026.08.16 02:01:00,02:01:00,97.0
2026.08.16 02:16:00,02:16:00,98.0
2026.08.16 02:21:00,02:21:00,97.0
2026.08.16 02:31:00,02:31:00,97.0
2026.08.16 02:41:00,02:41:00,97.0
2026.08.16 02:50:00,02:50:00,97.0
2026.08.16 03:00:00,03:00:00,97.0
2026.08.16 03:10:00,03:10:00,97.0
2026.08.16 03:20:00,03:20:00,97.0
2026.08.16 03:30:00,03:30:00,97.0
2026.08.16 03:40:00,03:40:00,97.0
2026.08.16 03:50:00,03:50:00,96.0
2026.08.16 04:00:00,04:00:00,97.0
2026.08.16 04:10:00,04:10:00,97.0
2026.08.16 04:20:00,04:20:00,97.0
2026.08.16 04:30:00,04:30:00,96.0
2026.08.16 04:40:00,04:40:00,96.0
2026.08.16 04:50:00,04:50:00,96.0
2026.08.16 05:00:00,05:00:00,96.0
2026.08.16 05:10:00,05:10:00,96.0
2026.08.16 05:20:00,05:20:00,96.0
2026.08.16 05:30:00,05:30:00,96.0
2026.08.16 05:40:00,05:40:00,96.0
2026.08.16 05:50:00,05:50:00,97.0
2026.08.16 06:00:00,06:00:00,96.0
2026.08.16 06:10:00,06:10:00,96.0
2026.08.16 06:21:00,06:21:00,96.0
2026.08.16 06:32:00,06:32:00,96.0
2026.08.16 06:41:00,06:41:00,96.0
2026.08.16 06:51:00,06:51:00,96.0
2026.08.16 07:01:00,07:01:00,96.0
2026.08.16 07:11:00,07:11:00,97.0
2026.08.16 07:21:00,07:21:00,96.0
2026.08.16 07:31:00,07:31:00,97.0
2026.08.16 07:41:00,07:41:00,97.0
2026.08.16 07:51:00,07:51:00,97.0
2026.08.16 08:01:00,08:01:00,96.0
2026.08.16 08:11:00,08:11:00,97.0
2026.08.16 08:21:00,08:21:00,97.0
2026.08.16 09:36:00,09:36:00,96.0
2026.08.16 09:56:00,09:56:00,96.0
2026.08.16 10:03:00,10:03:00,95.0
2026.08.16 10:16:00,10:16:00,96.0
2026.08.16 10:30:00,10:30:00,96.0
2026.08.16 10:46:00,10:46:00,96.0
2026.08.16 10:53:00,10:53:00,96.0
2026.08.16 11:06:00,11:06:00,95.0
2026.08.16 11:46:00,11:46:00,96.0
2026.08.16 12:16:00,12:16:00,96.0
2026.08.16 12:40:00,12:40:00,96.0
2026.08.16 13:16:00,13:16:00,96.0
2026.08.16 14:06:00,14:06:00,96.0
2026.08.16 15:06:00,15:06:00,96.0
2026.08.16 15:56:00,15:56:00,96.0
2026.08.16 16:30:00,16:30:00,95.0
2026.08.16 17:06:00,17:06:00,95.0
2026.08.16 18:11:00,18:11:00,96.0
2026.08.16 18:22:00,18:22:00,96.0
2026.08.16 19:26:00,19:26:00,96.0
2026.08.16 20:26:00,20:26:00,96.0
2026.08.16 20:30:00,20:30:00,97.0
2026.08.16 21:16:00,21:16:00,96.0
2026.08.16 21:32:00,21:32:00,95.0
2026.08.16 21:56:00,21:56:00,96.0
2026.08.16 22:10:00,22:10:00,96.0
2026.08.16 23:20:00,23:20:00,95.0
2026.08.17 00:11:00,00:11:00,97.0
2026.08.17 00:21:00,00:21:00,97.0
2026.08.17 00:31:00,00:31:00,96.0
2026.08.17 00:40:00,00:40:00,98.0
2026.08.17 00:50:00,00:50:00,97.0
2026.08.17 01:00:00,01:00:00,97.0
2026.08.17 01:10:00,01:10:00,97.0
2026.08.17 01:20:00,01:20:00,97.0
2026.08.17 01:30:00,01:30:00,97.0
2026.08.17 01:40:00,01:40:00,97.0
2026.08.17 01:50:00,01:50:00,97.0
2026.08.17 02:00:00,02:00:00,96.0
2026.08.17 02:10:00,02:10:00,96.0
2026.08.17 02:20:00,02:20:00,96.0
2026.08.17 02:30:00,02:30:00,98.0
2026.08.17 02:40:00,02:40:00,95.0
2026.08.17 02:50:00,02:50:00,97.0
2026.08.17 03:10:00,03:10:00,97.0
2026.08.17 03:20:00,03:20:00,97.0
2026.08.17 03:30:00,03:30:00,97.0
2026.08.17 03:40:00,03:40:00,97.0
2026.08.17 03:51:00,03:51:00,97.0
2026.08.17 04:20:00,04:20:00,96.0
2026.08.17 04:30:00,04:30:00,97.0
2026.08.17 04:40:00,04:40:00,97.0
2026.08.17 04:50:00,04:50:00,96.0
2026.08.17 05:00:00,05:00:00,96.0
2026.08.17 05:10:00,05:10:00,97.0
2026.08.17 05:20:00,05:20:00,97.0
2026.08.17 05:30:00,05:30:00,97.0
2026.08.17 05:40:00,05:40:00,97.0
2026.08.17 05:50:00,05:50:00,97.0
2026.08.17 06:01:00,06:01:00,97.0
2026.08.17 06:11:00,06:11:00,97.0
2026.08.17 06:21:00,06:21:00,97.0
2026.08.17 06:31:00,06:31:00,97.0
2026.08.17 06:41:00,06:41:00,98.0
2026.08.17 06:51:00,06:51:00,98.0
2026.08.17 07:01:00,07:01:00,98.0
2026.08.17 07:11:00,07:11:00,98.0
2026.08.17 07:21:00,07:21:00,97.0
2026.08.17 07:31:00,07:31:00,97.0
2026.08.17 07:41:00,07:41:00,97.0
2026.08.17 07:51:00,07:51:00,97.0
2026.08.17 08:07:00,08:07:00,97.0
2026.08.17 08:11:00,08:11:00,97.0
2026.08.17 08:21:00,08:21:00,97.0
2026.08.17 08:31:00,08:31:00,97.0
2026.08.17 08:41:00,08:41:00,97.0
2026.08.17 08:51:00,08:51:00,97.0
2026.08.17 09:01:00,09:01:00,96.0
2026.08.17 09:10:00,09:10:00,97.0
2026.08.17 09:40:00,09:40:00,97.0
2026.08.17 09:50:00,09:50:00,97.0
2026.08.17 10:00:00,10:00:00,97.0
2026.08.17 10:10:00,10:10:00,98.0
2026.08.17 10:20:00,10:20:00,97.0
2026.08.17 11:16:00,11:16:00,96.0
2026.08.17 12:46:00,12:46:00,96.0
2026.08.17 13:46:00,13:46:00,95.0
2026.08.17 14:56:00,14:56:00,96.0
2026.08.17 16:46:00,16:46:00,96.0
2026.08.17 17:10:00,17:10:00,95.0
2026.08.17 17:36:00,17:36:00,95.0
2026.08.17 18:06:00,18:06:00,96.0
2026.08.17 19:26:00,19:26:00,96.0
2026.08.17 20:16:00,20:16:00,95.0
2026.08.17 21:56:00,21:56:00,96.0
2026.08.17 22:16:00,22:16:00,95.0
2026.08.17 22:56:00,22:56:00,96.0
2026.08.17 23:16:00,23:16:00,96.0
2026.08.17 23:50:00,23:50:00,97.0
2026.08.18 00:21:00,00:21:00,96.0
2026.08.18 00:30:00,00:30:00,97.0
2026.08.18 00:41:00,00:41:00,97.0
2026.08.18 01:01:00,01:01:00,97.0
2026.08.18 01:12:00,01:12:00,97.0
2026.08.18 01:21:00,01:21:00,96.0
2026.08.18 01:31:00,01:31:00,96.0
2026.08.18 01:41:00,01:41:00,96.0
2026.08.18 01:51:00,01:51:00,97.0
2026.08.18 02:01:00,02:01:00,99.0
2026.08.18 02:11:00,02:11:00,99.0
2026.08.18 02:21:00,02:21:00,97.0
2026.08.18 02:31:00,02:31:00,97.0
2026.08.18 02:41:00,02:41:00,97.0
2026.08.18 02:51:00,02:51:00,97.0
2026.08.18 03:01:00,03:01:00,97.0
2026.08.18 03:11:00,03:11:00,97.0
2026.08.18 03:21:00,03:21:00,98.0
2026.08.18 03:31:00,03:31:00,97.0
2026.08.18 03:40:00,03:40:00,97.0
2026.08.18 03:50:00,03:50:00,96.0
2026.08.18 04:00:00,04:00:00,96.0
2026.08.18 04:10:00,04:10:00,97.0
2026.08.18 04:20:00,04:20:00,97.0
2026.08.18 04:30:00,04:30:00,97.0
2026.08.18 04:40:00,04:40:00,96.0
2026.08.18 04:51:00,04:51:00,97.0
2026.08.18 05:27:00,05:27:00,97.0
2026.08.18 05:31:00,05:31:00,97.0
2026.08.18 05:41:00,05:41:00,97.0
2026.08.18 06:01:00,06:01:00,96.0
2026.08.18 06:11:00,06:11:00,98.0
2026.08.18 06:21:00,06:21:00,97.0
2026.08.18 06:31:00,06:31:00,97.0
2026.08.18 06:41:00,06:41:00,97.0
2026.08.18 06:51:00,06:51:00,97.0
2026.08.18 07:01:00,07:01:00,98.0
2026.08.18 07:11:00,07:11:00,98.0
2026.08.18 09:26:00,09:26:00,95.0
2026.08.18 09:36:00,09:36:00,97.0
2026.08.18 10:04:00,10:04:00,95.0
2026.08.18 11:16:00,11:16:00,96.0
2026.08.18 11:26:00,11:26:00,96.0
2026.08.18 11:56:00,11:56:00,95.0
2026.08.18 12:00:00,12:00:00,96.0
2026.08.18 13:36:00,13:36:00,96.0
2026.08.18 13:44:00,13:44:00,97.0
2026.08.18 13:56:00,13:56:00,96.0
2026.08.18 14:20:00,14:20:00,96.0
2026.08.18 14:36:00,14:36:00,96.0
2026.08.18 14:45:00,14:45:00,96.0
2026.08.18 14:50:00,14:50:00,96.0
2026.08.18 15:06:00,15:06:00,96.0
2026.08.18 15:16:00,15:16:00,96.0
2026.08.18 15:56:00,15:56:00,95.0
2026.08.18 16:02:00,16:02:00,96.0
2026.08.18 16:16:00,16:16:00,96.0
2026.08.18 17:36:00,17:36:00,96.0
2026.08.18 17:46:00,17:46:00,96.0
2026.08.18 17:56:00,17:56:00,96.0
2026.08.18 18:16:00,18:16:00,95.0
2026.08.18 18:36:00,18:36:00,96.0
2026.08.18 18:46:00,18:46:00,95.0
2026.08.18 18:56:00,18:56:00,96.0
